YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EQ_PRIMARY,COUNTRY,STATE,LATITUDE,LONGITUDE,DEATHS,Depth
2000,7.0,15.0,1.0,30.0,30.5,6.1,JAPAN,no info,34.319,139.26,0.0,10.0
2000,7.0,16.0,3.0,21.0,45.5,6.4,PHILIPPINES,no info,20.253,122.04299999999999,0.0,33.0
2000,7.0,30.0,12.0,25.0,45.5,6.5,JAPAN,no info,33.900999999999996,139.376,0.0,10.0
2000,8.0,4.0,21.0,13.0,2.7,6.8,RUSSIA,no info,48.786,142.246,0.0,10.0
2000,8.0,21.0,13.0,25.0,44.5,4.2,CHINA,no info,25.826,102.194,1.0,33.0
2000,9.0,3.0,8.0,36.0,30.0,5.0,USA,CA,38.379,-122.413,0.0,10.0
2000,10.0,2.0,2.0,25.0,31.3,6.5,TANZANIA,no info,-7.977,30.709,0.0,34.0
2000,10.0,6.0,4.0,30.0,19.1,6.7,JAPAN,no info,35.455999999999996,133.134,0.0,10.0
2000,10.0,30.0,22.0,39.0,6.5,5.1,AFGHANISTAN,no info,37.542,69.582,0.0,33.0
2000,11.0,8.0,6.0,59.0,58.8,6.5,PANAMA,no info,7.042000000000001,-77.829,0.0,17.0
2000,11.0,16.0,4.0,54.0,55.9,8.0,PAPUA NEW GUINEA,no info,-4.001,152.327,2.0,17.0
2000,11.0,16.0,7.0,42.0,16.9,7.8,PAPUA NEW GUINEA,no info,-5.233,153.102,0.0,30.0
2000,11.0,17.0,21.0,1.0,56.4,7.8,PAPUA NEW GUINEA,no info,-5.496,151.781,0.0,33.0
2000,11.0,25.0,18.0,9.0,11.4,6.8,AZERBAIJAN,no info,40.245,49.946000000000005,31.0,50.0
2000,12.0,6.0,17.0,11.0,6.4,7.0,TURKMENISTAN,no info,39.566,54.799,11.0,30.0
2000,12.0,15.0,16.0,44.0,47.6,6.0,TURKEY,no info,38.457,31.351,6.0,10.0
2001,1.0,1.0,6.0,57.0,4.1,7.5,PHILIPPINES,no info,6.898,126.579,0.0,33.0
2001,1.0,13.0,17.0,33.0,32.3,7.7,EL SALVADOR,no info,13.049000000000001,-88.66,844.0,60.0
2001,1.0,26.0,3.0,16.0,40.5,7.7,INDIA,no info,23.419,70.232,20005.0,16.0
2001,2.0,13.0,14.0,22.0,5.8,6.6,EL SALVADOR,no info,13.671,-88.93799999999999,315.0,10.0
2001,2.0,23.0,0.0,9.0,23.6,5.6,CHINA,no info,29.513,101.12899999999999,3.0,33.0
2001,2.0,28.0,18.0,54.0,32.8,6.8,USA,WA,47.148999999999994,-122.727,1.0,52.0
2001,3.0,24.0,6.0,27.0,53.5,6.8,JAPAN,no info,34.083,132.526,2.0,50.0
2001,5.0,8.0,18.0,2.0,16.9,5.7,EL SALVADOR,no info,13.605,-88.795,1.0,10.0
2001,5.0,23.0,21.0,10.0,43.9,5.5,CHINA,no info,27.689,101.00299999999999,2.0,33.0
2001,6.0,1.0,14.0,0.0,43.6,5.0,AFGHANISTAN,no info,35.169000000000004,69.389,4.0,62.0
2001,6.0,23.0,20.0,33.0,14.1,8.4,PERU,no info,-16.265,-73.641,77.0,33.0
2001,6.0,25.0,13.0,28.0,46.5,5.5,TURKEY,no info,37.238,36.205999999999996,0.0,5.0
2001,7.0,5.0,13.0,53.0,48.3,6.6,PERU,no info,-16.086,-73.987,0.0,62.0
2001,7.0,7.0,9.0,38.0,43.5,7.6,PERU,no info,-17.543,-72.077,1.0,33.0
2001,7.0,14.0,18.0,36.0,8.3,4.3,CHINA,no info,24.455,102.66,0.0,33.0
2001,7.0,26.0,0.0,21.0,36.9,6.5,GREECE,no info,39.059,24.244,0.0,10.0
2001,8.0,9.0,2.0,6.0,59.9,5.8,PERU,no info,-14.258,-72.683,4.0,33.0
2001,9.0,9.0,23.0,59.0,18.0,4.2,USA,CA,34.059,-118.387,0.0,5.0
2001,10.0,12.0,5.0,2.0,34.0,6.1,CANADA,BC,52.63,-132.2,0.0,20.0
2001,10.0,12.0,15.0,2.0,16.8,7.0,USA TERRITORY,GU,12.686,144.98,0.0,37.0
2001,10.0,19.0,3.0,28.0,44.4,7.5,INDONESIA,no info,-4.102,123.90700000000001,0.0,33.0
2001,10.0,27.0,5.0,35.0,39.7,5.6,CHINA,no info,26.316,100.648,1.0,10.0
2001,11.0,14.0,9.0,26.0,10.0,7.8,CHINA,no info,35.946,90.541,0.0,10.0
2001,12.0,18.0,4.0,2.0,58.2,6.8,TAIWAN,no info,23.954,122.734,0.0,14.0
2001,12.0,19.0,7.0,54.0,7.9,4.5,BANGLADESH,no info,23.631999999999998,90.376,0.0,10.0
2002,1.0,2.0,17.0,22.0,48.7,7.2,VANUATU,no info,-17.6,167.856,0.0,21.0
2002,1.0,9.0,6.0,45.0,57.5,5.3,TAJIKISTAN,no info,38.673,69.902,3.0,33.0
2002,1.0,10.0,11.0,14.0,56.9,6.7,PAPUA NEW GUINEA,no info,-3.2119999999999997,142.42700000000002,1.0,11.0
2002,1.0,14.0,15.0,36.0,26.4,5.6,CHILE,no info,-19.384,-69.23100000000001,0.0,33.0
2002,1.0,17.0,20.0,1.0,29.2,4.7,RWANDA,no info,-1.6840000000000002,29.076999999999998,0.0,15.0
2002,1.0,30.0,8.0,42.0,3.4,5.9,MEXICO,no info,18.194000000000003,-95.90799999999999,0.0,109.0
2002,2.0,3.0,7.0,11.0,28.4,6.5,TURKEY,no info,38.573,31.271,44.0,5.0
2002,2.0,3.0,20.0,59.0,27.6,4.9,TAJIKISTAN,no info,38.773,69.92399999999999,0.0,44.0
2002,2.0,17.0,13.0,3.0,52.7,5.4,IRAN,no info,28.093000000000004,51.755,1.0,33.0
2002,2.0,22.0,19.0,32.0,41.7,5.5,MEXICO,no info,32.319,-115.322,0.0,7.0
2002,3.0,3.0,12.0,8.0,19.7,7.4,AFGHANISTAN,no info,36.501999999999995,70.482,166.0,226.0
